Foot,Position,Competition_Total_Appearances,Competition_Total_Goals,Competition_Total_Own_Goals,Competition_Total_Yellow_Cards,Competition_Total_Red_Cards,Competition_Total_Substitutions_On,Competition_Total_Substitutions_Off,Competition_Total_Clean_Sheets,Competition_Total_Goals_Conceded,Competition_International_Appearances,Competition_International_Goals,Competition_International_Own_Goals,Competition_International_Assists,Competition_International_Yellow_Cards,Competition_International_Red_Cards,Competition_International_Substitutions_On,Competition_International_Substitutions_Off,Competition_International_Clean_Sheets,Height_m,Age_years,Contract_months_remaining,Competition_Total_Minutes_Played_m,Competition_International_Minutes_Played_m,Citizenship_belgium,Citizenship_england,Citizenship_france,Citizenship_germany,Citizenship_italy,Citizenship_netherlands,Citizenship_saudi arabia,Citizenship_spain,Citizenship_türkiye,Citizenship_united states,Club_1.FSV Mainz 05,Club_Al-Ittihad Club,Club_Athletic Bilbao,Club_Burnley FC,Club_Eintracht Frankfurt,Club_FC Augsburg,Club_FC St. Pauli,Club_Hellas Verona,Club_Los Angeles Galaxy,Club_Nottingham Forest,Club_Other,Club_Paris FC,Club_RB Leipzig,Club_RSC Anderlecht,Club_SV Werder Bremen,Club_Standard Liège,Club_TSG 1899 Hoffenheim,Club_Torino FC,Club_US Sassuolo,Club_VfB Stuttgart,Club_VfL Wolfsburg,League_Eredivisie,League_Jupiler Pro League,League_LaLiga,League_Ligue 1,League_MLS,League_Premier League,League_Saudi Pro League,League_Serie a,League_Super Lig,Market_value_eur
0.5771509836454136,0.6001422137947381,21.0,0.7681915145769139,0.6733823180848543,0.38966579758236547,0.6653235363830291,0.9407442521924627,0.7705617444892154,0.6679307892865608,0.7051433989096942,0.6522872718653709,0.6835743067077507,0.6911590424271155,0.6819151457691396,0.6795449158568381,0.6913960654183455,0.6105712254088647,0.6944773643043375,0.6892628584972742,0.3794738089594691,0.609623133443944,0.657264754681204,0.3744963261436359,0.5470490637591846,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,10000000.0
0.620763214031761,0.271391324958521,7.0,0.09765347238682152,0.7399857786205262,0.2879829343446314,0.7241052382081062,0.08603934581654421,0.303152405783361,0.723868215216876,0.7162834794975113,0.6783598009006874,0.7793315951647309,0.8103816070158806,0.7783835031998104,0.7497037212609623,0.8099075610334202,0.7466224223749703,0.7169945484712017,0.801611756340365,0.3230623370466935,0.5847357193647784,0.49371889073240105,0.26783598009006876,0.6795449158568381,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,8000000.0
0.8696373548234179,0.2450817729319744,15.0,0.04290116141265703,0.05830765584261673,0.4911116378288694,0.04693055226356957,0.5994311448210476,0.7871533538753259,0.04598246029864897,0.04858971320218061,0.04787864422849016,0.05522635695662479,0.036501540649443,0.05498933396539464,0.05712254088646599,0.03626451765821285,0.05617444892154539,0.05949277079876748,0.03673856364067315,0.06897369044797345,0.004740459824602986,0.5401753970135104,0.3576676937662953,0.04787864422849016,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,4000000.0
0.4069684759421664,0.931737378525717,18.0,0.6641384214268784,0.37686655605593744,0.5543967764873192,0.3685707513628822,0.8324247452002844,0.7347712728134629,0.3728371652050249,0.3707039582839535,0.3545863948803034,0.3780516710120882,0.4271154301967291,0.3775776250296279,0.3773406020383977,0.4268784072054989,0.37497037212609624,0.37520739511732637,0.4271154301967291,0.43754444181085567,0.2671249111163783,0.5527376155487083,0.36691159042427113,0.3545863948803034,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,500000.0
0.32353638302915383,0.5095994311448211,20.0,0.6887888125148139,0.40957572884569804,0.04787864422849016,0.9362408153590899,0.36975586631903296,0.9187011140080588,0.4050722920123252,0.39511732638065894,0.3839772457928419,0.4102867978193885,0.2498222327565774,0.40981275183692817,0.4093387058544679,0.12467409338705855,0.40578336098601564,0.4064944299597061,0.2498222327565774,0.15169471438729557,0.8914434700165916,0.2735245318795923,0.6110452713913249,0.3839772457928419,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,750000.0
0.37662953306470726,0.4339890969424034,19.0,0.7876273998577862,0.48305285612704435,0.9537805167101209,0.4783123963024413,0.050959943114482105,0.2877459113534013,0.47617918938137,0.47309789049537804,0.4617207869163309,0.485660109030576,0.47357193647783835,0.47712728134629057,0.48945247689025834,0.47357193647783835,0.4785494192936715,0.47926048826736195,0.47357193647783835,0.8082484000948092,0.8741407916567907,0.13865844986963735,0.7717468594453663,0.4617207869163309,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,1200000.0
0.4512917753022043,0.6409101682863237,26.0,0.9580469305522635,0.5361460061625978,0.5622185351979142,0.9355297463853994,0.7449632614363594,0.7750651813225883,0.5370940981275184,0.5136288219957336,0.6487319269969187,0.5489452476890259,0.5525005925574781,0.5510784546100972,0.5451528798293435,0.5525005925574781,0.6693529272339417,0.5231097416449395,0.5503673856364067,0.37307418819625504,0.1061863000711069,0.9082721023939322,0.8321877222090542,0.5991941218298175,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,8000000.0
0.20834320929130126,0.13178478312396302,25.0,0.6039345816544205,0.1239630244133681,0.8672671249111163,0.12609623133443945,0.2315714624318559,0.38468831476653237,0.1351031050011851,0.1450580706328514,0.14102867978193884,0.1360511969661057,0.15596112822943825,0.13557715098364542,0.12988859919412182,0.1787153353875326,0.12467409338705855,0.12514813936951885,0.14766532353638304,0.47594216639013986,0.5890021332069211,0.35506044086276367,0.9134866082009955,0.14102867978193884,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,6000000.0
0.6883147665323537,0.20123251955439678,13.0,0.14813936951884332,0.7579995259540175,0.3012562218535198,0.7416449395591372,0.22564588765110216,0.29438255510784544,0.7409338705854468,0.726949514102868,0.7579995259540175,0.753970135103105,0.7506518132258829,0.7530220431381844,0.8279213083669116,0.7504147902346527,0.7255273761554871,0.7219720312870348,0.7497037212609623,0.7899976297700877,0.036501540649443,0.33515050959943116,0.4633799478549419,0.6657975823654895,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,150000.0
0.9938374022280161,0.2469779568618156,9.0,0.02417634510547523,0.13296989808011378,0.12135577150983645,0.12704432329936005,0.6973216401990993,0.24531879592320455,0.12206684048352691,0.1244370703958284,0.12064470253614601,0.17610808248400095,0.17302678359800902,0.17563403650154064,0.13154776013273287,0.1725527376155487,0.13344394406257407,0.1341550130362645,0.17326380658923915,0.4185826025124437,0.5925574780753733,0.1351031050011851,0.19246266887888125,0.12064470253614601,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,2000000.0
