Foot,Position,Competition_Total_Appearances,Competition_Total_Goals,Competition_Total_Own_Goals,Competition_Total_Assists,Competition_Total_Yellow_Cards,Competition_Total_Red_Cards,Competition_Total_Substitutions_On,Competition_Total_Substitutions_Off,Competition_Total_Clean_Sheets,Competition_Total_Goals_Conceded,Competition_International_Appearances,Competition_International_Goals,Competition_International_Own_Goals,Competition_International_Assists,Competition_International_Yellow_Cards,Competition_International_Red_Cards,Competition_International_Substitutions_On,Competition_International_Substitutions_Off,Competition_International_Clean_Sheets,Competition_International_Goals_Conceded,Height_m,Market_value_eur,Age_years,Contract_months_remaining,Competition_Total_Minutes_Played_m,Competition_International_Minutes_Played_m,Citizenship_belgium,Citizenship_england,Citizenship_france,Citizenship_germany,Citizenship_italy,Citizenship_netherlands,Citizenship_saudi arabia,Citizenship_spain,Citizenship_türkiye,Citizenship_united states,Club_1.FSV Mainz 05,Club_Al-Ittihad Club,Club_Athletic Bilbao,Club_Burnley FC,Club_Eintracht Frankfurt,Club_FC Augsburg,Club_FC St. Pauli,Club_Hellas Verona,Club_Los Angeles Galaxy,Club_Nottingham Forest,Club_Other,Club_Paris FC,Club_RB Leipzig,Club_RSC Anderlecht,Club_SV Werder Bremen,Club_Standard Liège,Club_TSG 1899 Hoffenheim,Club_Torino FC,Club_US Sassuolo,Club_VfB Stuttgart,Club_VfL Wolfsburg,League_Eredivisie,League_Jupiler Pro League,League_LaLiga,League_Ligue 1,League_MLS,League_Premier League,League_Saudi Pro League,League_Serie a,League_Super Lig
1,4,30.0,3.0,0.0,11.0,0.0,0.0,9.0,17.0,0.0,0.0,7.0,1.0,0.0,3.0,0.0,0.0,1.0,6.0,0.0,0.0,1.73,65000000.0,23.0,28.8107752956636,1831.0,450.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
2,4,23.0,2.0,0.0,3.0,3.0,0.0,13.0,7.0,0.0,0.0,6.0,0.0,0.0,1.0,2.0,0.0,3.0,2.0,0.0,0.0,1.76,45000000.0,21.0,64.7831800262812,1032.0,324.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
1,4,26.0,14.0,0.0,4.0,6.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.85,65000000.0,26.0,64.7831800262812,2269.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
1,4,19.0,2.0,0.0,1.0,0.0,0.0,13.0,5.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,1.83,65000000.0,26.0,40.80157687253614,551.0,180.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
1,1,31.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,17.0,19.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,1.83,35000000.0,30.0,28.8107752956636,2790.0,630.0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
1,1,7.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.88,7000000.0,31.0,28.8107752956636,630.0,90.0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
1,2,29.0,0.0,0.0,1.0,1.0,0.0,1.0,2.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.92,90000000.0,24.0,52.79237844940867,2435.0,450.0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
2,2,28.0,4.0,0.0,3.0,2.0,0.0,4.0,4.0,0.0,0.0,5.0,1.0,0.0,1.0,1.0,0.0,1.0,2.0,0.0,0.0,1.9,75000000.0,28.0,40.80157687253614,2173.0,342.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
2,2,22.0,0.0,0.0,0.0,2.0,0.0,4.0,8.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,1.84,50000000.0,24.0,4.7963206307490145,1521.0,182.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
1,2,18.0,0.0,0.0,0.0,1.0,0.0,8.0,3.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.91,35000000.0,21.0,52.79237844940867,988.0,378.0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
